filename,size,status,enc_entropy,corr_h,corr_v,corr_d,uniformity,mse,perfect_match
4.1.01.tiff,256x256,OK,7.9975,-0.0702,-0.0082,0.0003,94.15,0,TRUE
4.1.02.tiff,256x256,OK,7.9971,-0.0921,-0.0028,-0.0018,93.69,0,TRUE
4.1.03.tiff,256x256,OK,7.9972,0.0481,-0.0005,-0.0016,93.75,0,TRUE
4.1.04.tiff,256x256,OK,7.9973,-0.0088,0.0016,-0.0066,93.83,0,TRUE
4.1.05.tiff,256x256,OK,7.9971,0.0017,0.0006,-0.0026,93.68,0,TRUE
4.1.06.tiff,256x256,OK,7.9969,0.0088,0.0044,-0.0064,93.42,0,TRUE
4.1.07.tiff,256x256,OK,7.9973,0.0623,-0.0038,-0.0033,93.85,0,TRUE
4.1.08.tiff,256x256,OK,7.9972,0.0564,-0.0003,-0.0046,93.78,0,TRUE
4.2.01.tiff,512x512,OK,7.9991,-0.0431,0.001,0.0002,96.52,0,TRUE
4.2.03.tiff,512x512,OK,7.9992,0.0016,0.001,0.0028,96.67,0,TRUE
4.2.05.tiff,512x512,OK,7.9993,0.0535,0.0006,0.0013,96.92,0,TRUE
4.2.06.tiff,512x512,OK,7.9994,0.0013,0.002,-0.001,97.15,0,TRUE
4.2.07.tiff,512x512,OK,7.9993,-0.0066,0.0009,-0.0027,96.83,0,TRUE
5.1.09.tiff,256x256,OK,7.997,0.0106,0.0034,-0.0023,93.6,0,TRUE
5.1.10.tiff,256x256,OK,7.9969,0.0049,0.0004,0.0024,93.47,0,TRUE
5.1.11.tiff,256x256,OK,7.9974,0.0768,-0.0031,-0.0065,94.02,0,TRUE
5.1.12.tiff,256x256,OK,7.9977,0.0634,-0.0011,-0.0006,94.29,0,TRUE
5.1.13.tiff,256x256,OK,7.9971,0.0737,0.0029,-0.0054,93.71,0,TRUE
5.1.14.tiff,256x256,OK,7.9968,-0.0357,-0.0042,-0.0047,93.38,0,TRUE
5.2.08.tiff,512x512,OK,7.9992,-0.0015,0.0019,-0.0031,96.59,0,TRUE
5.2.09.tiff,512x512,OK,7.9994,0.0661,0.0005,0.0003,97.05,0,TRUE
5.2.10.tiff,512x512,OK,7.9992,-0.0235,0.0008,-0.0012,96.62,0,TRUE
5.3.01.tiff,1024x1024,OK,7.9998,-0.0363,-0.0003,-0.0001,98.46,0,TRUE
5.3.02.tiff,1024x1024,OK,7.9998,-0.0613,0.0003,-0.0019,98.49,0,TRUE
7.1.01.tiff,512x512,OK,7.9992,-0.0392,-0.0032,0.0027,96.66,0,TRUE
7.1.02.tiff,512x512,OK,7.9994,0.0706,-0.0017,0.0009,97.06,0,TRUE
7.1.03.tiff,512x512,OK,7.9993,0.0237,0.002,0.0009,96.86,0,TRUE
7.1.04.tiff,512x512,OK,7.9993,-0.0062,0.0009,0.0019,96.88,0,TRUE
7.1.05.tiff,512x512,OK,7.9994,-0.0342,0.004,-0.001,97.05,0,TRUE
7.1.06.tiff,512x512,OK,7.9992,-0.0557,-0.0008,0.0026,96.61,0,TRUE
7.1.07.tiff,512x512,OK,7.9993,-0.0413,-0.0016,-0.0017,96.82,0,TRUE
7.1.08.tiff,512x512,OK,7.9991,0.0261,0.0004,-0.0002,96.45,0,TRUE
7.1.09.tiff,512x512,OK,7.9993,0.0071,-0.0016,-0.0024,96.86,0,TRUE
7.1.10.tiff,512x512,OK,7.9993,-0.0072,0.0027,-0.0004,96.81,0,TRUE
7.2.01.tiff,1024x1024,OK,7.9998,-0.0918,-0.0005,-0.001,98.39,0,TRUE
boat.512.tiff,512x512,OK,7.9994,0.0232,0.0015,-0.0012,97.02,0,TRUE
gray21.512.tiff,512x512,OK,7.9993,0.0005,0.0023,-0.0012,96.93,0,TRUE
house.tiff,512x512,OK,7.9994,0.0435,0.0005,0.0004,97.09,0,TRUE
ruler.512.tiff,512x512,OK,7.9993,0.0776,0,-0.0023,96.9,0,TRUE
,,,,,,,,,
metric,mean,std,min,max,,,,,
enc_entropy,7.9986,0.0011,7.9968,7.9998,,,,,
corr_h,0.0038,0.0466,-0.0921,0.0776,,,,,
corr_v,0.0001,0.0024,-0.0082,0.0044,,,,,
corr_d,-0.0013,0.0025,-0.0066,0.0028,,,,,
uniformity,95.8541,1.6369,93.38,98.49,,,,,
mse,0,0,0,0,,,,,
perfect_match_rate,39/39,,,,,,,,
